segment_a_price_change,segment_b_price_change,portfolio_acceptance,accepted_revenue,accepted_gross_loss,cost,expected_profit
1.266666666666666774e-01,-1.000000000000000056e-01,7.087740019769886990e-01,6.823099577457066971e+02,4.860036980159047744e+02,-1.963062597298018090e+02,1.963062597298018090e+02
1.333333333333333315e-01,-1.000000000000000056e-01,7.014636453460991738e-01,6.764344675383996446e+02,4.807402412416644211e+02,-1.956942262967352804e+02,1.956942262967352804e+02
1.400000000000000133e-01,-1.000000000000000056e-01,6.940665838623116812e-01,6.703626623770439892e+02,4.754143569733374193e+02,-1.949483054037065131e+02,1.949483054037065131e+02
1.466666666666666674e-01,-1.000000000000000056e-01,6.865919622987057824e-01,6.641032941710457180e+02,4.700326294475411260e+02,-1.940706647235045637e+02,1.940706647235045637e+02
1.533333333333333492e-01,-1.000000000000000056e-01,6.790493407463868980e-01,6.576658376905504610e+02,4.646019419298714865e+02,-1.930638957606789461e+02,1.930638957606789461e+02
1.600000000000000033e-01,-1.000000000000000056e-01,6.714486488684863197e-01,6.510604513450163040e+02,4.591294437777830808e+02,-1.919310075672331948e+02,1.919310075672331948e+02
1.666666666666666574e-01,-1.000000000000000056e-01,6.638001359616994002e-01,6.442979312407427415e+02,4.536225144848965556e+02,-1.906754167558462143e+02,1.906754167558462143e+02
1.733333333333333670e-01,-1.000000000000000056e-01,6.561143173277133034e-01,6.373896589111316189e+02,4.480887250684265837e+02,-1.893009338427050352e+02,1.893009338427050352e+02
1.800000000000000211e-01,-1.000000000000000056e-01,6.484019175289568171e-01,6.303475432253048893e+02,4.425357972133218141e+02,-1.878117460119830184e+02,1.878117460119830184e+02
1.866666666666666752e-01,-1.000000000000000056e-01,6.406738111651115730e-01,6.231839570849228949e+02,4.369715606313533272e+02,-1.862123964535695677e+02,1.862123964535695677e+02
1.933333333333333293e-01,-1.000000000000000056e-01,6.329409618569060703e-01,6.159116696127529167e+02,4.314039091294453101e+02,-1.845077604833075782e+02,1.845077604833075782e+02
2.000000000000000389e-01,-1.000000000000000056e-01,6.252143601603009637e-01,6.085437746170607625e+02,4.258407559078896156e+02,-1.827030187091710900e+02,1.827030187091710900e+02
2.066666666666666929e-01,-1.000000000000000056e-01,6.175049611561749252e-01,6.010936161810052454e+02,4.202899886249189194e+02,-1.808036275560863828e+02,1.808036275560863828e+02
2.133333333333333470e-01,-1.000000000000000056e-01,6.098236224673099226e-01,5.935747122740781379e+02,4.147594247689360714e+02,-1.788152875051419812e+02,1.788152875051419812e+02
2.200000000000000011e-01,-1.000000000000000056e-01,6.021810434456629224e-01,5.860006773119721402e+02,4.092567678733503271e+02,-1.767439094386218130e+02,1.767439094386218130e+02
2.266666666666666552e-01,-1.000000000000000056e-01,5.945877062488699183e-01,5.783851446013982240e+02,4.037895650916593127e+02,-1.745955795097389398e+02,1.745955795097389398e+02
2.333333333333333648e-01,-1.000000000000000056e-01,5.870538194864010073e-01,5.707416895972003203e+02,3.983651666226817269e+02,-1.723765229745186787e+02,1.723765229745186787e+02
2.400000000000000189e-01,-1.000000000000000056e-01,5.795892650639875576e-01,5.630837548711715499e+02,3.929906874385440005e+02,-1.700930674326275778e+02,1.700930674326275778e+02
2.466666666666666730e-01,-1.000000000000000056e-01,5.722035487914273189e-01,5.554245776463276343e+02,3.876729717223006446e+02,-1.677516059240269328e+02,1.677516059240269328e+02
2.533333333333332993e-01,-1.000000000000000056e-01,5.649057552455755138e-01,5.477771206886574191e+02,3.824185603692873201e+02,-1.653585603193700990e+02,1.653585603193700990e+02
2.600000000000000089e-01,-1.000000000000000056e-01,5.577045072993758179e-01,5.401540072726043036e+02,3.772336618480235302e+02,-1.629203454245806881e+02,1.629203454245806881e+02
2.666666666666667185e-01,-1.000000000000000056e-01,5.506079306414839447e-01,5.325674608491249273e+02,3.721241266543413531e+02,-1.604433341947834890e+02,1.604433341947834890e+02
2.733333333333333171e-01,-1.000000000000000056e-01,5.436236235217498658e-01,5.250292499487946998e+02,3.670954255281328642e+02,-1.579338244206618072e+02,1.579338244206618072e+02
2.800000000000000266e-01,-1.000000000000000056e-01,5.367586318678961854e-01,5.175506387498614913e+02,3.621526315373582747e+02,-1.553980072125033018e+02,1.553980072125033018e+02
2.866666666666667362e-01,-1.000000000000000056e-01,5.300194298303833040e-01,5.101423436352355338e+02,3.573004060703489699e+02,-1.528419375648865355e+02,1.528419375648865355e+02
2.933333333333333348e-01,-1.000000000000000056e-01,5.234119057277437648e-01,5.028144959558788969e+02,3.525429887164485194e+02,-1.502715072394304059e+02,1.502715072394304059e+02
2.999999999999999889e-01,-1.000000000000000056e-01,5.169413532854123527e-01,4.955766111135542360e+02,3.478841909579699063e+02,-1.476924201555843297e+02,1.476924201555843297e+02
-1.000000000000000056e-01,-9.333333333333333759e-02,8.727481515703401360e-01,7.502557773262176397e+02,6.042413081375359525e+02,-1.460144691886816872e+02,1.460144691886816872e+02
-9.333333333333333759e-02,-9.333333333333333759e-02,8.701644263308363492e-01,7.514327245011452305e+02,6.023810259650932721e+02,-1.490516985360519584e+02,1.490516985360519584e+02
-8.666666666666666963e-02,-9.333333333333333759e-02,8.674664268045759741e-01,7.524708514909750647e+02,6.004384663061858873e+02,-1.520323851847892342e+02,1.520323851847892342e+02
-8.000000000000000167e-02,-9.333333333333333759e-02,8.646504966929300373e-01,7.533645090152333523e+02,5.984109966258007489e+02,-1.549535123894325466e+02,1.549535123894325466e+02
-7.333333333333333370e-02,-9.333333333333333759e-02,8.617130031726913941e-01,7.541079720460402314e+02,5.962960012912288903e+02,-1.578119707548113695e+02,1.578119707548113695e+02
-6.666666666666667962e-02,-9.333333333333333759e-02,8.586503536798322234e-01,7.546954562554651602e+02,5.940908936563703264e+02,-1.606045625990948054e+02,1.606045625990948054e+02
-6.000000000000000472e-02,-9.333333333333333759e-02,8.554590141322446772e-01,7.551211364868736382e+02,5.917931291821072364e+02,-1.633280073047663450e+02,1.633280073047663450e+02
-5.333333333333333676e-02,-9.333333333333333759e-02,8.521355285996987661e-01,7.553791673252204646e+02,5.894002195986741981e+02,-1.659789477265462381e+02,1.659789477265462381e+02
-4.666666666666666879e-02,-9.333333333333333759e-02,8.486765404131970669e-01,7.554637058263622293e+02,5.869097481043929747e+02,-1.685539577219691978e+02,1.685539577219691978e+02
-4.000000000000000083e-02,-9.333333333333333759e-02,8.450788146875092277e-01,7.553689364473985961e+02,5.843193855818977909e+02,-1.710495508655008052e+02,1.710495508655008052e+02
-3.333333333333333981e-02,-9.333333333333333759e-02,8.413392622099912233e-01,7.550890981986565293e+02,5.816269077980847442e+02,-1.734621904005717283e+02,1.734621904005717283e+02
-2.666666666666667185e-02,-9.333333333333333759e-02,8.374549646257845037e-01,7.546185140130373838e+02,5.788302135374559612e+02,-1.757883004755813658e+02,1.757883004755813658e+02
-2.000000000000000389e-02,-9.333333333333333759e-02,8.334232008242994372e-01,7.539516223000291575e+02,5.759273436003866209e+02,-1.780242786996424513e+02,1.780242786996424513e+02
-1.333333333333333592e-02,-9.333333333333333759e-02,8.292414744046279207e-01,7.530830106197240639e+02,5.729165005782232356e+02,-1.801665100415007714e+02,1.801665100415007714e+02
-6.666666666666667962e-03,-9.333333333333333759e-02,8.249075420684799376e-01,7.520074513767898452e+02,5.697960692961967197e+02,-1.822113820805931255e+02,1.822113820805931255e+02
0.000000000000000000e+00,-9.333333333333333759e-02,8.204194427586986027e-01,7.507199393957403117e+02,5.665646377931540201e+02,-1.841553016025862348e+02,1.841553016025862348e+02
6.666666666666667962e-03,-9.333333333333333759e-02,8.157755273298175069e-01,7.492157311973332980e+02,5.632210186843597057e+02,-1.859947125129736776e+02,1.859947125129736776e+02
1.333333333333333592e-02,-9.333333333333333759e-02,8.109744885050098606e-01,7.474903857520024530e+02,5.597642707304981968e+02,-1.877261150215042562e+02,1.877261150215042562e+02
2.000000000000000389e-02,-9.333333333333333759e-02,8.060153908417377888e-01,7.455398064404403158e+02,5.561937204129422980e+02,-1.893460860274979893e+02,1.893460860274979893e+02
2.666666666666667185e-02,-9.333333333333333759e-02,8.008977003972077569e-01,7.433602839046096733e+02,5.525089832928806572e+02,-1.908513006117289876e+02,1.908513006117289876e+02
3.333333333333332593e-02,-9.333333333333333759e-02,7.956213137551455539e-01,7.409485394254022594e+02,5.487099849105959493e+02,-1.922385545148062818e+02,1.922385545148062818e+02
4.000000000000000777e-02,-9.333333333333333759e-02,7.901865860483454629e-01,7.383017684169731183e+02,5.447969809616997736e+02,-1.935047874552732594e+02,1.935047874552732594e+02
4.666666666666666186e-02,-9.333333333333333759e-02,7.845943575878725484e-01,7.354176835836091186e+02,5.407705764701593125e+02,-1.946471071134497777e+02,1.946471071134497777e+02
5.333333333333334370e-02,-9.333333333333333759e-02,7.788459786907047100e-01,7.322945572441200284e+02,5.366317436641984386e+02,-1.956628135799215897e+02,1.956628135799215897e+02
5.999999999999999778e-02,-9.333333333333333759e-02,7.729433322840135734e-01,7.289312622925742744e+02,5.323818382513808274e+02,-1.965494240411933617e+02,1.965494240411933617e+02
6.666666666666667962e-02,-9.333333333333333759e-02,7.668888538571947411e-01,7.253273112341362321e+02,5.280226137840712681e+02,-1.973046974500649640e+02,1.973046974500649640e+02
7.333333333333333370e-02,-9.333333333333333759e-02,7.606855483331095291e-01,7.214828927122747473e+02,5.235562338067300061e+02,-1.979266589055447412e+02,1.979266589055447412e+02
8.000000000000001554e-02,-9.333333333333333759e-02,7.543370034386462919e-01,7.173989049300839724e+02,5.189852814827164593e+02,-1.984136234473674278e+02,1.984136234473674278e+02
8.666666666666666963e-02,-9.333333333333333759e-02,7.478473991723335601e-01,7.130769853652236634e+02,5.143127664109712214e+02,-1.987642189542524136e+02,1.987642189542524136e+02
9.333333333333335147e-02,-9.333333333333333759e-02,7.412215129938823921e-01,7.085195361862080290e+02,5.095421283624864373e+02,-1.989774078237215349e+02,1.989774078237215349e+02
1.000000000000000056e-01,-9.333333333333333759e-02,7.344647203974747907e-01,7.037297447983942220e+02,5.046772376930730388e+02,-1.990525071053212116e+02,1.990525071053212116e+02
1.066666666666666874e-01,-9.333333333333333759e-02,7.275829905773758544e-01,6.987115989817432364e+02,4.997223922226016839e+02,-1.989892067591414673e+02,1.989892067591414673e+02
1.133333333333333415e-01,-9.333333333333333759e-02,7.205828769507756082e-01,6.934698961295860045e+02,4.946823104114495209e+02,-1.987875857181365120e+02,1.987875857181365120e+02
1.199999999999999956e-01,-9.333333333333333759e-02,7.134715023680402446e-01,6.880102461582030173e+02,4.895621207118800839e+02,-1.984481254463229334e+02,1.984481254463229334e+02
1.266666666666666774e-01,-9.333333333333333759e-02,7.062565389138724115e-01,6.823390677305696954e+02,4.843673470248792228e+02,-1.979717207056903305e+02,1.979717207056903305e+02
1.333333333333333315e-01,-9.333333333333333759e-02,6.989461822829829973e-01,6.764635775232626429e+02,4.791038902506388695e+02,-1.973596872726238018e+02,1.973596872726238018e+02
1.400000000000000133e-01,-9.333333333333333759e-02,6.915491207991955047e-01,6.703917723619069875e+02,4.737780059823118677e+02,-1.966137663795950346e+02,1.966137663795950346e+02
1.466666666666666674e-01,-9.333333333333333759e-02,6.840744992355896059e-01,6.641324041559087163e+02,4.683962784565155744e+02,-1.957361256993930851e+02,1.957361256993930851e+02
1.533333333333333492e-01,-9.333333333333333759e-02,6.765318776832707215e-01,6.576949476754134594e+02,4.629655909388459349e+02,-1.947293567365674676e+02,1.947293567365674676e+02
1.600000000000000033e-01,-9.333333333333333759e-02,6.689311858053701432e-01,6.510895613298793023e+02,4.574930927867575292e+02,-1.935964685431217163e+02,1.935964685431217163e+02
1.666666666666666574e-01,-9.333333333333333759e-02,6.612826728985832236e-01,6.443270412256057398e+02,4.519861634938710040e+02,-1.923408777317347358e+02,1.923408777317347358e+02
1.733333333333333670e-01,-9.333333333333333759e-02,6.535968542645971269e-01,6.374187688959946172e+02,4.464523740774010321e+02,-1.909663948185935567e+02,1.909663948185935567e+02
1.800000000000000211e-01,-9.333333333333333759e-02,6.458844544658405296e-01,6.303766532101678877e+02,4.408994462222962625e+02,-1.894772069878715399e+02,1.894772069878715399e+02
1.866666666666666752e-01,-9.333333333333333759e-02,6.381563481019953965e-01,6.232130670697858932e+02,4.353352096403277756e+02,-1.878778574294580892e+02,1.878778574294580892e+02
1.933333333333333293e-01,-9.333333333333333759e-02,6.304234987937897827e-01,6.159407795976159150e+02,4.297675581384197585e+02,-1.861732214591960997e+02,1.861732214591960997e+02
2.000000000000000389e-01,-9.333333333333333759e-02,6.226968970971846762e-01,6.085728846019237608e+02,4.242044049168640640e+02,-1.843684796850596115e+02,1.843684796850596115e+02
2.066666666666666929e-01,-9.333333333333333759e-02,6.149874980930587487e-01,6.011227261658682437e+02,4.186536376338933678e+02,-1.824690885319749043e+02,1.824690885319749043e+02
2.133333333333333470e-01,-9.333333333333333759e-02,6.073061594041936351e-01,5.936038222589411362e+02,4.131230737779105198e+02,-1.804807484810305027e+02,1.804807484810305027e+02
2.200000000000000011e-01,-9.333333333333333759e-02,5.996635803825467459e-01,5.860297872968351385e+02,4.076204168823247755e+02,-1.784093704145103345e+02,1.784093704145103345e+02
2.266666666666666552e-01,-9.333333333333333759e-02,5.920702431857537418e-01,5.784142545862612224e+02,4.021532141006337611e+02,-1.762610404856274613e+02,1.762610404856274613e+02
2.333333333333333648e-01,-9.333333333333333759e-02,5.845363564232848308e-01,5.707707995820633187e+02,3.967288156316561754e+02,-1.740419839504072002e+02,1.740419839504072002e+02
2.400000000000000189e-01,-9.333333333333333759e-02,5.770718020008713811e-01,5.631128648560345482e+02,3.913543364475184489e+02,-1.717585284085160993e+02,1.717585284085160993e+02
2.466666666666666730e-01,-9.333333333333333759e-02,5.696860857283110313e-01,5.554536876311906326e+02,3.860366207312750930e+02,-1.694170668999154543e+02,1.694170668999154543e+02
2.533333333333332993e-01,-9.333333333333333759e-02,5.623882921824592263e-01,5.478062306735204174e+02,3.807822093782617685e+02,-1.670240212952586205e+02,1.670240212952586205e+02
2.600000000000000089e-01,-9.333333333333333759e-02,5.551870442362596414e-01,5.401831172574673019e+02,3.755973108569979786e+02,-1.645858064004692096e+02,1.645858064004692096e+02
2.666666666666667185e-01,-9.333333333333333759e-02,5.480904675783676572e-01,5.325965708339879257e+02,3.704877756633158015e+02,-1.621087951706720105e+02,1.621087951706720105e+02
2.733333333333333171e-01,-9.333333333333333759e-02,5.411061604586335783e-01,5.250583599336576981e+02,3.654590745371073126e+02,-1.595992853965503286e+02,1.595992853965503286e+02
2.800000000000000266e-01,-9.333333333333333759e-02,5.342411688047800089e-01,5.175797487347244896e+02,3.605162805463327231e+02,-1.570634681883918233e+02,1.570634681883918233e+02
2.866666666666667362e-01,-9.333333333333333759e-02,5.275019667672671275e-01,5.101714536200985322e+02,3.556640550793234183e+02,-1.545073985407750570e+02,1.545073985407750570e+02
2.933333333333333348e-01,-9.333333333333333759e-02,5.208944426646275883e-01,5.028436059407418952e+02,3.509066377254229678e+02,-1.519369682153189274e+02,1.519369682153189274e+02
2.999999999999999889e-01,-9.333333333333333759e-02,5.144238902222961762e-01,4.956057210984172343e+02,3.462478399669443547e+02,-1.493578811314728512e+02,1.493578811314728512e+02
-1.000000000000000056e-01,-8.666666666666666963e-02,8.701629968918598301e-01,7.502009430701515384e+02,6.025609575965238491e+02,-1.476399854736277177e+02,1.476399854736277177e+02
-9.333333333333333759e-02,-8.666666666666666963e-02,8.675792716523562653e-01,7.513778902450791293e+02,6.007006754240811688e+02,-1.506772148209979605e+02,1.506772148209979605e+02
-8.666666666666666963e-02,-8.666666666666666963e-02,8.648812721260958902e-01,7.524160172349089635e+02,5.987581157651736703e+02,-1.536579014697352648e+02,1.536579014697352648e+02
-8.000000000000000167e-02,-8.666666666666666963e-02,8.620653420144499535e-01,7.533096747591671374e+02,5.967306460847886456e+02,-1.565790286743785487e+02,1.565790286743785487e+02
-7.333333333333333370e-02,-8.666666666666666963e-02,8.591278484942110882e-01,7.540531377899741301e+02,5.946156507502166733e+02,-1.594374870397574000e+02,1.594374870397574000e+02
-6.666666666666667962e-02,-8.666666666666666963e-02,8.560651990013521395e-01,7.546406219993989453e+02,5.924105431153582231e+02,-1.622300788840408075e+02,1.622300788840408075e+02
-6.000000000000000472e-02,-8.666666666666666963e-02,8.528738594537643714e-01,7.550663022308074233e+02,5.901127786410950193e+02,-1.649535235897123755e+02,1.649535235897123755e+02
-5.333333333333333676e-02,-8.666666666666666963e-02,8.495503739212184602e-01,7.553243330691543633e+02,5.877198690576619811e+02,-1.676044640114922686e+02,1.676044640114922686e+02
-4.666666666666666879e-02,-8.666666666666666963e-02,8.460913857347167610e-01,7.554088715702960144e+02,5.852293975633808714e+02,-1.701794740069152283e+02,1.701794740069152283e+02
-4.000000000000000083e-02,-8.666666666666666963e-02,8.424936600090291439e-01,7.553141021913324948e+02,5.826390350408855738e+02,-1.726750671504468357e+02,1.726750671504468357e+02
-3.333333333333333981e-02,-8.666666666666666963e-02,8.387541075315110284e-01,7.550342639425903144e+02,5.799465572570726408e+02,-1.750877066855177588e+02,1.750877066855177588e+02
-2.666666666666667185e-02,-8.666666666666666963e-02,8.348698099473044199e-01,7.545636797569711689e+02,5.771498629964438578e+02,-1.774138167605273964e+02,1.774138167605273964e+02
-2.000000000000000389e-02,-8.666666666666666963e-02,8.308380461458191313e-01,7.538967880439629425e+02,5.742469930593745175e+02,-1.796497949845884818e+02,1.796497949845884818e+02
-1.333333333333333592e-02,-8.666666666666666963e-02,8.266563197261477258e-01,7.530281763636578489e+02,5.712361500372110186e+02,-1.817920263264467735e+02,1.817920263264467735e+02
-6.666666666666667962e-03,-8.666666666666666963e-02,8.223223873899998537e-01,7.519526171207237439e+02,5.681157187551846164e+02,-1.838368983655391276e+02,1.838368983655391276e+02
0.000000000000000000e+00,-8.666666666666666963e-02,8.178342880802182968e-01,7.506651051396740968e+02,5.648842872521419167e+02,-1.857808178875322369e+02,1.857808178875322369e+02
6.666666666666667962e-03,-8.666666666666666963e-02,8.131903726513373121e-01,7.491608969412671968e+02,5.615406681433476024e+02,-1.876202287979196797e+02,1.876202287979196797e+02
1.333333333333333592e-02,-8.666666666666666963e-02,8.083893338265296657e-01,7.474355514959363518e+02,5.580839201894859798e+02,-1.893516313064502583e+02,1.893516313064502583e+02
2.000000000000000389e-02,-8.666666666666666963e-02,8.034302361632574829e-01,7.454849721843741008e+02,5.545133698719300810e+02,-1.909716023124439914e+02,1.909716023124439914e+02
2.666666666666667185e-02,-8.666666666666666963e-02,7.983125457187275620e-01,7.433054496485435720e+02,5.508286327518685539e+02,-1.924768168966749897e+02,1.924768168966749897e+02
3.333333333333332593e-02,-8.666666666666666963e-02,7.930361590766654700e-01,7.408937051693360445e+02,5.470296343695838459e+02,-1.938640707997522838e+02,1.938640707997522838e+02
4.000000000000000777e-02,-8.666666666666666963e-02,7.876014313698652680e-01,7.382469341609069033e+02,5.431166304206876703e+02,-1.951303037402192615e+02,1.951303037402192615e+02
4.666666666666666186e-02,-8.666666666666666963e-02,7.820092029093923536e-01,7.353628493275430174e+02,5.390902259291472092e+02,-1.962726233983957798e+02,1.962726233983957798e+02
5.333333333333334370e-02,-8.666666666666666963e-02,7.762608240122244041e-01,7.322397229880539271e+02,5.349513931231863353e+02,-1.972883298648675918e+02,1.972883298648675918e+02
5.999999999999999778e-02,-8.666666666666666963e-02,7.703581776055333785e-01,7.288764280365080594e+02,5.307014877103687240e+02,-1.981749403261393638e+02,1.981749403261393638e+02
6.666666666666667962e-02,-8.666666666666666963e-02,7.643036991787145462e-01,7.252724769780701308e+02,5.263422632430591648e+02,-1.989302137350109660e+02,1.989302137350109660e+02
7.333333333333333370e-02,-8.666666666666666963e-02,7.581003936546293343e-01,7.214280584562086460e+02,5.218758832657179028e+02,-1.995521751904907433e+02,1.995521751904907433e+02
8.000000000000001554e-02,-8.666666666666666963e-02,7.517518487601662081e-01,7.173440706740177575e+02,5.173049309417043560e+02,-2.000391397323134299e+02,2.000391397323134299e+02
8.666666666666666963e-02,-8.666666666666666963e-02,7.452622444938532542e-01,7.130221511091574484e+02,5.126324158699590043e+02,-2.003897352391984157e+02,2.003897352391984157e+02
9.333333333333335147e-02,-8.666666666666666963e-02,7.386363583154023082e-01,7.084647019301419277e+02,5.078617778214743339e+02,-2.006029241086675370e+02,2.006029241086675370e+02
1.000000000000000056e-01,-8.666666666666666963e-02,7.318795657189947068e-01,7.036749105423280071e+02,5.029968871520608786e+02,-2.006780233902672137e+02,2.006780233902672137e+02
1.066666666666666874e-01,-8.666666666666666963e-02,7.249978358988955485e-01,6.986567647256770215e+02,4.980420416815895237e+02,-2.006147230440874694e+02,2.006147230440874694e+02
1.133333333333333415e-01,-8.666666666666666963e-02,7.179977222722953023e-01,6.934150618735197895e+02,4.930019598704373607e+02,-2.004131020030825141e+02,2.004131020030825141e+02
1.199999999999999956e-01,-8.666666666666666963e-02,7.108863476895601607e-01,6.879554119021369161e+02,4.878817701708679806e+02,-2.000736417312689355e+02,2.000736417312689355e+02
1.266666666666666774e-01,-8.666666666666666963e-02,7.036713842353923276e-01,6.822842334745034805e+02,4.826869964838671194e+02,-1.995972369906363326e+02,1.995972369906363326e+02
1.333333333333333315e-01,-8.666666666666666963e-02,6.963610276045028025e-01,6.764087432671965416e+02,4.774235397096267093e+02,-1.989852035575698039e+02,1.989852035575698039e+02
1.400000000000000133e-01,-8.666666666666666963e-02,6.889639661207153098e-01,6.703369381058407726e+02,4.720976554412997075e+02,-1.982392826645410366e+02,1.982392826645410366e+02
1.466666666666666674e-01,-8.666666666666666963e-02,6.814893445571093000e-01,6.640775698998425014e+02,4.667159279155034710e+02,-1.973616419843390872e+02,1.973616419843390872e+02
